"admin2Name","admin1Name","Shape_Leng","Shape_Area","LGA","ID","Area_km2","clust"
"Jama'are","Bauchi",0.834950260681,0.0317107919623,"Jama'are",372,382.45886704052,"5_6"
"Katagum","Bauchi",1.9362122524,0.110003605305,"Katagum",402,1326.81801404738,"5_3"
"Kirfi","Bauchi",1.89800728261,0.18732262756,"Kirfi",416,2268.79553741193,"5_1"
"Misau","Bauchi",1.41550177094,0.082634573766,"Misau",481,997.645277649321,"5_3"
"Ningi","Bauchi",2.62679618563,0.384580893594,"Ningi",503,4648.37753836378,"5_7"
"Shira","Bauchi",1.6294270189,0.113554810153,"Shira",651,1370.57354095873,"5_6"
"Tafawa-Balewa","Bauchi",3.65184692525,0.202321179585,"Tafawa-Balewa",668,2454.91630222125,"5_2"
"Toro","Bauchi",3.70858928293,0.567871042525,"Toro",680,6877.24275773584,"5_7"
"Warji","Bauchi",0.9203728935,0.0545266429409,"Warji",716,658.821123821354,"5_5"
"Zaki","Bauchi",2.55831979749,0.158104234284,"Zaki",740,1902.99018225571,"5_4"
"Brass","Bayelsa",1.93317618333,0.0768689439995,"Brass",120,943.503606264454,"6_1"
"Ekeremor","Bayelsa",2.17878591463,0.148028818193,"Ekeremor",174,1815.49195721018,"6_1"
"Kolokuma/Opokuma","Bayelsa",0.798168525434,0.0285859446458,"Kolokuma/Opokuma",423,350.517215051166,"6_1"
"Nembe","Bayelsa",1.76205838575,0.114335636015,"Nembe",499,1403.07595858156,"6_1"
"Ogbia","Bayelsa",1.09963417006,0.0552787836532,"Ogbia",538,678.138142051531,"6_1"
"Sagbama","Bayelsa",2.32221045529,0.0773732559627,"Sagbama",636,948.680143368084,"6_1"
"Southern Ijaw","Bayelsa",2.57933494389,0.220659313773,"Southern Ijaw",660,2707.33887935702,"6_1"
"Yenegoa","Bayelsa",1.3800470376,0.0556372093364,"Yenegoa",734,682.270416413474,"6_1"
"Ado","Benue",1.81920651514,0.097102067465,"Ado",13,1187.06284342085,"7_1"
"Agatu","Benue",1.46345836537,0.0859025375983,"Agatu",20,1047.66729181207,"7_2"
"Apa","Benue",1.12953956372,0.0759916459814,"Apa",59,927.28092699135,"7_2"
"Buruku","Benue",2.04948332853,0.0960403729673,"Buruku",127,1172.69035714774,"7_3"
"Gboko","Benue",1.96546905787,0.155583470672,"Gboko",231,1899.69474214449,"7_3"
"Guma","Benue",2.53386998207,0.234746916002,"Guma",244,2862.67076611,"7_4"
"Gwer East","Benue",2.00312628245,0.163344232107,"Gwer East",257,1994.36335043551,"7_4"
"Gwer West","Benue",1.4194365767,0.117308994126,"Gwer West",258,1431.53611110254,"7_4"
"Katsina-Ala","Benue",2.43647011353,0.220366725796,"Katsina-Ala",405,2691.14337220943,"7_3"
"Konshisha","Benue",1.86777090034,0.137885555584,"Konshisha",424,1684.72255227141,"7_5"
"Kwande","Benue",2.20770179342,0.192360147885,"Kwande",438,2351.52857944381,"7_5"
"Logo","Benue",1.69466793123,0.13322530727,"Logo",451,1625.60757298362,"7_3"
"Makurdi","Benue",0.990939575142,0.0665723512651,"Makurdi",462,812.17713443571,"7_4"
"Obi","Benue",0.899676964494,0.040674899373,"Obi_Benue",521,497.013547575899,"7_1"
"Ogbadibo","Benue",1.02393669026,0.049329914458,"Ogbadibo",536,602.773510855069,"7_1"
"Ohimini","Benue",1.0031142307,0.0490219301016,"Ohimini",551,598.708643524046,"7_1"
"Oju","Benue",1.62982560206,0.0973788677381,"Oju",554,1190.29925124686,"7_1"
"Okpokwu","Benue",1.41282597161,0.0756659222978,"Okpokwu",562,924.523528849018,"7_1"
"Oturkpo","Benue",1.99992578229,0.111623163753,"Oturkpo",599,1363.08479410007,"7_1"
"Tarka","Benue",0.834290986894,0.0391267337607,"Tarka",676,477.478942297433,"7_3"
"Ukum","Benue",1.62604504893,0.146166978488,"Ukum",696,1783.53041482911,"7_3"
"Ushongo","Benue",1.86697701679,0.112946745502,"Ushongo",707,1379.95197798229,"7_5"
"Vandeikya","Benue",1.34155613723,0.0799977795201,"Vandeikya",712,977.846921883942,"7_5"
"Abadam","Borno",3.07531581882,0.326867839893,"Abadam",748,3916.2492437083,"8_1"
"Askira/Uba","Borno",2.71360474365,0.206528008826,"Askira/Uba",749,2499.53686563382,"8_2"
"Bama","Borno",3.14954576002,0.415833511067,"Bama",750,5017.65075367522,"8_3"
"Bayo","Borno",1.43585718321,0.0781755815171,"Bayo",751,946.855210342954,"8_4"
"Biu","Borno",2.56424614592,0.271335495357,"Biu",752,3282.2973992035,"8_4"
"Chibok","Borno",1.57615672853,0.125630436455,"Chibok",753,1519.5273385065,"8_2"
"Damboa","Borno",3.95217164917,0.481960960969,"Damboa",754,5823.78242309562,"8_2"
"Dikwa","Borno",1.9949084772,0.156913081066,"Dikwa",755,1890.87328822759,"8_5"
"Gubio","Borno",2.22129332461,0.218267853653,"Gubio",756,2622.98558536416,"8_6"
"Guzamala","Borno",2.40093780617,0.2094880062,"Guzamala",757,2515.50656839754,"8_7"
"Gwoza","Borno",2.18571574928,0.242719319037,"Gwoza",758,2932.51829017595,"8_3"
"Hawul","Borno",1.97364295691,0.166220890708,"Hawul",759,2012.94905268207,"8_4"
"Jere","Borno",1.88957194767,0.0699787540585,"Jere",760,843.305529049788,"8_8"
"Kaga","Borno",2.3255508183,0.213445989669,"Kaga",761,2574.67504341638,"8_9"
"Kala/Balge","Borno",1.87173143738,0.155904185161,"Kala/Balge",762,1877.90512625287,"8_5"
"Konduga","Borno",5.28505084575,0.493959304067,"Konduga",763,5958.93649074274,"8_8"
"Kukawa","Borno",2.58164621952,0.409573344815,"Kukawa",764,4914.66282396644,"8_1"
"Kwaya Kusar","Borno",1.11967203003,0.0617092549833,"Kwaya Kusar",765,747.320510057589,"8_4"
"Mafa","Borno",2.46049796952,0.236869945361,"Mafa",766,2853.49115443414,"8_10"
"Magumeri","Borno",3.01160886711,0.392771250647,"Magumeri",767,4728.66893612902,"8_9"
"Maiduguri","Borno",0.519518470992,0.0116031351305,"Maiduguri",768,139.86533512373,"8_8"
"Marte","Borno",2.27292552236,0.24592176674,"Marte",769,2958.18677816665,"8_10"
"Mobbar","Borno",2.53484467267,0.225422190446,"Mobbar",770,2704.71097151627,"8_6"
"Monguno","Borno",2.42372789328,0.157379434784,"Monguno",771,1892.15596345485,"8_10"
"Ngala","Borno",1.80749449654,0.119919943336,"Ngala",772,1443.43357814167,"8_5"
"Nganzai","Borno",2.30622185711,0.192371760172,"Nganzai",773,2313.45432692704,"8_7"
"Shani","Borno",1.50863091633,0.101077470464,"Shani",774,1225.08878434092,"8_4"
"Abi","Cross River",0.877586249851,0.0218794915434,"Abi",8,267.933072545999,"9_1"
"Akamkpa","Cross River",2.71753139656,0.410299053418,"Akamkpa",33,5028.47407718392,"9_2"
"Akpabuyo","Cross River",2.07624031171,0.0646901478209,"Akpabuyo",83,793.44751070604,"9_2"
"Bekwara","Cross River",0.689501258627,0.0257455526527,"Bekwara",97,314.798040071717,"9_3"
"Biase","Cross River",1.51367887904,0.105498600473,"Biase",99,1292.67400649628,"9_1"
"Boki","Cross River",2.14300786486,0.23580907719,"Boki",112,2885.63381881484,"9_3"
"Calabar-Municipal","Cross River",0.516150682462,0.0112154948734,"Calabar-Municipal",130,137.538716321835,"9_2"
"Calabar South","Cross River",0.816585506273,0.0153774098236,"Calabar South",131,188.617626136727,"9_2"
"Etung","Cross River",1.21774990387,0.066349249446,"Etung",204,812.539404507576,"9_1"
"Ikom","Cross River",2.09256137678,0.160744671989,"Ikom",317,1967.79128182815,"9_1"
"Obanliku","Cross River",1.42014018836,0.0767299597778,"Obanliku",518,938.527971312869,"9_3"
"Obubra","Cross River",1.79429328019,0.0934913750449,"Obubra",526,1144.68187861053,"9_1"
"Obudu","Cross River",0.885029471633,0.0382447335065,"Obudu",527,467.751381323483,"9_3"
"Odukpani","Cross River",2.37450905506,0.110487532383,"Odukpani",532,1354.61836670462,"9_2"
"Ogoja","Cross River",1.65766741783,0.0746233159701,"Ogoja",542,912.779594708709,"9_3"
"Yakurr","Cross River",0.973799778064,0.0538110502382,"Yakurr",729,659.06224835922,"9_1"
"Yala","Cross River",2.37319998812,0.145879338415,"Yala",730,1783.85913739387,"9_3"
"Bakassi","Cross River",0.105568035375,0.000342186810984,"Bakassi",747,4.19757552900463,"9_2"
"Aniocha North","Delta",0.837232531361,0.0330575015734,"Aniocha North",55,404.466756539247,"10_1"
"Aniocha South","Delta",1.2152326591,0.0711150601587,"Aniocha South",56,870.480305560707,"10_1"
"Bomadi","Delta",1.00459030193,0.0104988358362,"Bomadi",115,128.712338412835,"10_2"
